Hotel Name,Location,Price,Rating,Discount Percentage,City
Elite Inn Indira Nagar,"Indira Nagar, Bangalore","₹ 2,863",2.5,13% off,Bangalore
Indus Vogue Apartment-3,"Marathahalli, Bangalore","₹ 6,419",2.5,13% off,Bangalore
Hotel Gokul Majestick,"Majestic, Bangalore","₹ 2,622",2.5,13% off,Bangalore
Sri Ramakrishna Hotel,"Gandhi Nagar, Bangalore","₹ 1,227",2.5,32% off,Bangalore
Hotel Manjunatha,"Majestic, Bangalore","₹ 4,705",2.5,13% off,Bangalore
HouseFinch Residency,"Bengaluru International Airport Road, Bangalore",₹ 955,2.5,27% off,Bangalore
Comfort Suites,"Koramangala, Bangalore","₹ 6,709",2.5,16% off,Bangalore
Serene Boutique Hotel,"Hsr Layout, Bangalore","₹ 1,643",2.5,47% off,Bangalore
Stayvel Service Apartments,"Koramangala, Bangalore","₹ 2,794",2.5,14% off,Bangalore
DoubleTree Suites by Hilton Hotel Bangalore,"Sarjapur Road, Bangalore","₹ 35,500",2.5,14% off,Bangalore
Shangri-La Hotel Bengaluru,"Infantry Road, Bangalore","₹ 29,500",2.5,14% off,Bangalore
Hilton Bangalore Embassy GolfLinks,"Old Airport Road, Bangalore","₹ 30,500",2.5,14% off,Bangalore
Park Hotel And Resort,"Bannerghatta Road, Bangalore","₹ 3,376",4.3,16% off,Bangalore
Capital Hill Homestay,"Outskirts, Bangalore","₹ 4,907",2.5,13% off,Bangalore
Sunny Villa And Farm Stays,"Outskirts, Bangalore","₹ 20,000",2.5,13% off,Bangalore
Deltrum Crescent Serviced Apartments,"Hebbal, Bangalore","₹ 5,632",2.5,13% off,Bangalore
Crest Hotel,"Hebbal, Bangalore","₹ 7,435",4.2,24% off,Bangalore
Bluebell Accommodations,"Kammanahalli, Bangalore","₹ 1,235",4.3,50% off,Bangalore
Hotel Airport Residency Off BIA,"Bengaluru International Airport Road, Bangalore","₹ 1,431",2.5,52% off,Bangalore
VEE Suites,"Bengaluru International Airport Road, Bangalore","₹ 2,237",2.5,38% off,Bangalore
Hillview Inn,"Indira Nagar, Bangalore","₹ 4,873",2.5,13% off,Bangalore
Hotel The Prince Royal,"Channasandra, Bangalore","₹ 2,041",2.5,33% off,Bangalore
Arra Grande Suites Kempegowda Airport Bangalore,"Bengaluru International Airport Road, Bangalore","₹ 3,466",4.2,31% off,Bangalore
Sampada Homestay,"Rajaji Nagar, Bangalore","₹ 9,064",2.5,31% off,Bangalore
The Kanva Heritage Resort,"Outskirts, Bangalore","₹ 3,671",2.5,13% off,Bangalore
Akme Encore Serviced Apartment (v2u Services),"Brookefield, Bangalore","₹ 5,383",2.5,13% off,Bangalore
Live Inn,"Ejipura, Bangalore","₹ 4,970",4.3,17% off,Bangalore
Ajantha Komforts,"J P Nagar, Bangalore","₹ 2,372",4.1,28% off,Bangalore
Royal Serenity - Kammanahalli,"Kalyan Nagar, Bangalore","₹ 1,988",4.2,17% off,Bangalore
Hotel Thanga Orchid,"Peenya Industrial Estate Tumuku Main Road, Bangalore","₹ 2,418",4.0,19% off,Bangalore
Akshaya Residency Grand Lotus,"Gandhi Nagar, Bangalore","₹ 1,561",2.5,22% off,Bangalore
Aston Service Apartment,"Hsr Layout, Bangalore","₹ 2,043",4.0,13% off,Bangalore
Hotel Regal Plaza,"Madiwala, Bangalore","₹ 4,984",2.5,13% off,Bangalore
Hotel Golden Nest,"Madiwala, Bangalore","₹ 1,443",2.5,13% off,Bangalore
Mayur Lodge,"Gandhi Nagar, Bangalore","₹ 5,215",4.3,13% off,Bangalore
Utse Suites-Bangalore,"Shivaji Nagar, Bangalore","₹ 3,145",2.5,21% off,Bangalore
Crown Boarding & Lodging,"Electronic City, Bangalore","₹ 4,270",2.5,15% off,Bangalore
MLC Gateway Deluxe Inn,"Gandhi Nagar, Bangalore","₹ 1,491",2.5,22% off,Bangalore
Pristige Stay Inn,"New Bel Road, Bangalore","₹ 2,083",4.3,17% off,Bangalore
Nandu Hospitality - Matoshri,"Hebbal, Bangalore","₹ 2,674",4.1,33% off,Bangalore
RG Hotels And Resort,"Malur, Bangalore","₹ 3,164",2.5,21% off,Bangalore
Rudhi Suites,"Hebbal, Bangalore","₹ 1,443",4.6,13% off,Bangalore
SAP Golden Grande,"Electronic City, Bangalore","₹ 1,203",4.1,29% off,Bangalore
Vijays Inn Service Apartment,"Yelahanka, Bangalore","₹ 4,327",4.3,13% off,Bangalore
Hotel LG Park,"Whitefield, Bangalore","₹ 2,602",2.5,13% off,Bangalore
Amaravathi Lodging,"Madiwala, Bangalore","₹ 4,795",2.5,13% off,Bangalore
HLV Grand Inn,"Race Course Road, Bangalore","₹ 1,484",2.5,45% off,Bangalore
Hamza Hotel,"M G Road, Bangalore","₹ 4,714",2.5,13% off,Bangalore
Labamba Suites,"Infantry Road, Bangalore","₹ 2,884",2.5,13% off,Bangalore
Online Suites,"Electronic City, Bangalore","₹ 1,334",4.0,33% off,Bangalore
Hotel Reddy Inn,"Anekal, Bangalore","₹ 1,731",2.5,13% off,Bangalore
RedStone Villa and Suites,"Hsr Layout, Bangalore","₹ 1,365",4.2,28% off,Bangalore
Sapphire Inn,"Wilson Garden, Bangalore",₹ 930,2.5,23% off,Bangalore
Shoba Elite,"Basaveshwara Nagar, Bangalore","₹ 1,584",4.1,25% off,Bangalore
Dreamz Lux Stay,"Bommasandra Industrial Area, Bangalore","₹ 4,876",4.5,13% off,Bangalore
Sriranga Guest House,Bangalore,"₹ 4,436",2.5,13% off,Bangalore
Happy Home Guest House,Bangalore,"₹ 5,086",4.3,13% off,Bangalore
TS Royal Grand - Attibele,"Hosur Main Road, Bangalore","₹ 2,353",4.0,26% off,Bangalore
G.M.Royals,Bangalore,"₹ 1,311",2.5,13% off,Bangalore
Deccan Suites Standard,Bangalore,"₹ 2,793",2.5,13% off,Bangalore
Vijayadri Exotica,Bangalore,"₹ 2,184",4.0,13% off,Bangalore
Rrr Residency,Bangalore,"₹ 1,748",2.5,13% off,Bangalore
Hotel Windsor Castle Inn,"Brigade Road, Bangalore","₹ 2,026",2.5,16% off,Bangalore
Imera Spa and Resorts,"Sarjapur Road, Bangalore","₹ 2,887",4.0,28% off,Bangalore
MistyBlue Serviced Apartment,"Bannerghatta, Bangalore","₹ 3,827",4.6,79% off,Bangalore
Hotel Costal King,"Jalahalli, Bangalore","₹ 2,439",2.5,30% off,Bangalore
Renaissance Bengaluru Race Course Hotel,"Race Course Road, Bangalore","₹ 24,000",2.5,30% off,Bangalore
Olive Zip Btm Layout by Embassy Group,"B T M Layout, Bangalore","₹ 2,754",2.5,30% off,Bangalore
S A B Residency,"Mysore Road, Bangalore","₹ 4,555",2.5,21% off,Bangalore
Orange Corner,"Bengaluru International Airport Road, Bangalore",₹ 805,2.5,66% off,Bangalore
NPG Hotel,"Bengaluru International Airport Road, Bangalore","₹ 2,321",4.6,51% off,Bangalore
GK Hill View Resort,"Devanahalli, Bangalore","₹ 3,639",4.2,44% off,Bangalore
Airport Bliss Boutique Hotel,"Devanahalli, Bangalore",₹ 976,4.6,49% off,Bangalore
De Mandarin,"New Bel Road, Bangalore","₹ 2,472",4.2,44% off,Bangalore
SLV Regency,"Mathikere, Bangalore","₹ 8,071",2.5,19% off,Bangalore
Airport Regency,"Kempe Gowda Road, Bangalore","₹ 1,425",4.3,28% off,Bangalore
Victory Grand Attibele,"Sarjapur Road, Bangalore","₹ 1,536",4.4,35% off,Bangalore
Myspace Silverstar Hotel,"Gandhi Nagar, Bangalore","₹ 2,098",4.3,50% off,Bangalore
Golden Guest House,"Kammanahalli, Bangalore","₹ 17,167",2.5,14% off,Bangalore
"Clover - A Rivido Hotel, Jigani","Bommasandra Industrial Area, Bangalore","₹ 1,539",2.5,32% off,Bangalore
Elite Inn,"Attibele, Bangalore","₹ 2,600",2.5,32% off,Bangalore
Courtyard Marriott Bengaluru Hebbal,"Outer Ring Road, Bangalore","₹ 19,000",2.5,32% off,Bangalore
Hotel Jade Blue Suite,"Manyata Tech Park, Bangalore","₹ 8,207",2.5,14% off,Bangalore
Hotel Royal Flora Koramangala,"Adugodi, Bangalore","₹ 1,463",2.5,44% off,Bangalore
Prestige Stay Inn,"Mathikere, Bangalore","₹ 1,962",4.3,22% off,Bangalore
Flamingos The Service Apartment,"Gottigere, Bangalore","₹ 1,210",4.2,25% off,Bangalore
The Porch Inn,"Wilson Garden, Bangalore","₹ 1,815",4.7,47% off,Bangalore
Mayur Paradise,"Gandhi Nagar, Bangalore","₹ 1,241",2.5,46% off,Bangalore
Transtree at Brookefield - Corporate Stays,"Brookefield, Bangalore","₹ 2,494",4.4,34% off,Bangalore
Coffee Bean Inn,"Hsr Layout, Bangalore","₹ 3,541",4.8,21% off,Bangalore
Sports icon Suites,"Bengaluru International Airport Road, Bangalore",₹ 776,4.4,29% off,Bangalore
Nevesa Suites,"Yelahanka, Bangalore","₹ 1,973",4.6,16% off,Bangalore
Daffodil Hotels,"Hbr Layout, Bangalore","₹ 1,663",4.3,43% off,Bangalore
The White Pearl Suites Whitefield,"Whitefield, Bangalore","₹ 3,102",2.5,32% off,Bangalore
Olivia Inn And Suites,"Madivala, Bangalore","₹ 1,004",2.5,37% off,Bangalore
Grand Mercure Bengaluru at Gopalan Mall,"Swami Vivekananda Road, Bangalore","₹ 26,000",2.5,37% off,Bangalore
Dhruva Inn,"Nagarabhavi, Bangalore","₹ 2,254",4.2,25% off,Bangalore
The Gateway Suites,"Devanahalli, Bangalore","₹ 1,321",4.4,60% off,Bangalore
Four Seasons Hotel Bengaluru at Embassy ONE,"Ganganagar, Bangalore","₹ 36,900",4.6,10% off,Bangalore
Hotel Pearl Inn,"Koramangala, Bangalore","₹ 1,341",2.5,26% off,Bangalore
Hotel UR Comforts,"Jayanagar, Bangalore","₹ 1,569",4.7,37% off,Bangalore
Holiday Inn Express Bengaluru,"Yeshwanthpur, Bangalore","₹ 7,799",2.5,37% off,Bangalore
Holiday Inn Express and Suites Bengaluru Racecourse,"Gandhi Nagar, Bangalore","₹ 13,400",2.5,37% off,Bangalore
ABM Boutique Hotel Near Airport,"Bengaluru International Airport Road, Bangalore","₹ 2,218",2.5,30% off,Bangalore
Eiffel Suites,"Kammanahalli, Bangalore","₹ 5,720",4.4,18% off,Bangalore
"Guesture Serviced Residences, Alta Vista","Electronic City, Bangalore","₹ 2,071",4.2,17% off,Bangalore
Seasons Suites - JP Nagar,"J P Nagar, Bangalore","₹ 1,545",2.5,26% off,Bangalore
The Nisarga Grand,"Peenya Industrial Estate, Bangalore","₹ 2,265",4.2,25% off,Bangalore
MySpace Express GD Inn,"Old Airport Road, Bangalore","₹ 1,107",2.5,17% off,Bangalore
Utsav Club and Resort by Florus,"Nelamangala, Bangalore","₹ 8,583",4.4,14% off,Bangalore
Hotel Dhruv Palace,"Hebbal, Bangalore","₹ 1,571",4.3,37% off,Bangalore
Omatra RK Club House,"Bommasandra Industrial Area, Bangalore","₹ 6,117",4.3,13% off,Bangalore
Hotel BV Colours,"Begur, Bangalore","₹ 1,296",4.4,21% off,Bangalore
Hotel Red Key Bangalore Airport,"Bengaluru International Airport Road, Bangalore",₹ 925,4.0,43% off,Bangalore
Gateway Inn Bangalore International Airport,"Bengaluru International Airport Road, Bangalore","₹ 2,394",2.5,26% off,Bangalore
Hotel 8th Mile Suites,"Vidhyanagar, Bangalore","₹ 3,728",4.5,15% off,Bangalore
Santrina Suites,"Koramangala, Bangalore","₹ 2,923",4.4,19% off,Bangalore
Raj Residency,"Mathikere, Bangalore","₹ 2,858",4.6,35% off,Bangalore
Regal Suites,"Jayanagar, Bangalore","₹ 8,583",4.6,14% off,Bangalore
Domus Regency by ShriGo Hotels,"Hebbal, Bangalore","₹ 2,218",2.5,23% off,Bangalore
SAS Royal Galaxy,"Airport Road, Bangalore","₹ 1,318",4.8,62% off,Bangalore
North Comforts,"Jakkur, Bangalore","₹ 2,401",4.7,29% off,Bangalore
Tranquil orchid serviced Apartment,"Electronic City, Bangalore","₹ 3,698",2.5,21% off,Bangalore
Panchami Comforts,"Mailasandra, Bangalore","₹ 1,936",4.9,28% off,Bangalore
Sheraton Grand Bengaluru Whitefield Hotel & Convention Center,"Whitefield, Bangalore","₹ 39,000",2.5,28% off,Bangalore
Forest Keys By VYDA,"J P Nagar, Bangalore","₹ 1,827",4.0,25% off,Bangalore
Classic Heights Serviced Apartments near IIM Bangalore,"Bannerghatta, Bangalore","₹ 2,729",5.0,39% off,Bangalore
Urban Smart Wagtail Hotel,"Whitefield, Bangalore","₹ 2,098",2.5,13% off,Bangalore
Amulya Relax Inn,Bangalore,"₹ 1,274",2.5,33% off,Bangalore
NEVESA INN,"Brookefield, Bangalore","₹ 1,924",4.8,21% off,Bangalore
Sai Shreyas Residency,"Airport Road, Bangalore","₹ 1,569",4.7,37% off,Bangalore
Eshanya Comforts,"Hosur Main Road, Bangalore","₹ 1,906",2.5,29% off,Bangalore
JK Residency,"Old Madras Road, Bangalore","₹ 1,661",4.3,45% off,Bangalore
Aishwarya Inn,"Old Madras Road, Bangalore","₹ 1,977",2.5,20% off,Bangalore
Liwa Habitat,"Jakkur, Bangalore","₹ 3,545",2.5,65% off,Bangalore
Poornima Regency,"Wilson Garden, Bangalore","₹ 1,668",4.4,33% off,Bangalore
Hotel Blue Bell,"Kiadb Road, Bangalore","₹ 1,569",2.5,22% off,Bangalore
Olive Zip Koramangala 100Ft Road by Embassy Group,"Koramangala, Bangalore","₹ 2,466",4.2,30% off,Bangalore
Hotel Golden Suites,"Electronic City, Bangalore","₹ 1,105",2.5,35% off,Bangalore
Hotel Grand Meridian,"Bengaluru International Airport Road, Bangalore","₹ 1,098",2.5,45% off,Bangalore
SM Comforts HSR Layout,"Hsr Layout, Bangalore","₹ 1,666",2.5,41% off,Bangalore
JW Marriott Bengaluru Prestige Golfshire Resort & Spa,"Devanahalli, Bangalore","₹ 33,000",2.5,41% off,Bangalore
Villa Grand Hotel,"Bengaluru International Airport Road, Bangalore","₹ 2,149",4.2,20% off,Bangalore
PPH Living Royal GS Comforts,"Amruthahalli, Bangalore","₹ 1,746",4.7,33% off,Bangalore
J C Comfort,"Dasarahalli, Bangalore","₹ 2,390",4.2,32% off,Bangalore
Treebo Millenium Suites,"Hosur Main Road, Bangalore","₹ 1,536",2.5,62% off,Bangalore
Nandhini Hotel - RT Nagar,"R T Nagar, Bangalore","₹ 2,827",4.0,29% off,Bangalore
Ekaa Keys By Bestinn Leisure,"Hosur Main Road, Bangalore","₹ 2,803",2.5,30% off,Bangalore
ibis Bengaluru Hebbal,"Hebbal, Bangalore","₹ 18,900",2.5,30% off,Bangalore
Hotel New Blue Rocks,"Sarjapur Road, Bangalore","₹ 1,648",4.6,59% off,Bangalore
DMS Service Apartments& Luxury Rooms,"Yelahanka, Bangalore","₹ 1,669",4.4,16% off,Bangalore
Sri Udupi Park Suites PMC,"Whitefield, Bangalore","₹ 1,453",2.5,29% off,Bangalore
Purple Cloud Urban Hotel,"Hebbal, Bangalore","₹ 1,713",4.1,26% off,Bangalore
Hotel Royal Orbit,"Bilekahalli, Bangalore","₹ 2,271",4.7,35% off,Bangalore
Dhanvitha Suites,"Bannerghatta Road, Bangalore","₹ 7,660",2.5,23% off,Bangalore
Hotel SPECTRA,"Bengaluru International Airport Road, Bangalore","₹ 1,880",4.8,57% off,Bangalore
City Keys By Bestinn Leisure,"Electronic City, Bangalore","₹ 2,119",4.6,53% off,Bangalore
The Altruist Business Stays Bellandur 1,"Bellandur, Bangalore","₹ 3,720",2.5,35% off,Bangalore
The Altruist Business Stays Bellandur 2,"Bellandur, Bangalore","₹ 1,774",2.5,64% off,Bangalore
Hotel Twin Tulips,"Hsr Layout, Bangalore","₹ 1,935",4.3,57% off,Bangalore
Blue Lotus Residency,Bangalore,"₹ 1,070",2.5,46% off,Bangalore
Octave Jamayca Hotel Bengaluru,"Hrbr Layout, Bangalore","₹ 1,518",2.5,10% off,Bangalore
Octave Studio Hotel Bengaluru,"Koramangala, Bangalore","₹ 1,494",2.5,10% off,Bangalore
Octave Church Inn Bengaluru,"Shivaji Nagar, Bangalore","₹ 1,992",2.5,10% off,Bangalore
The Ventura Grand Hotel,"Dasarahalli, Bangalore","₹ 2,567",2.5,20% off,Bangalore
SM Royal Stay,"Bengaluru International Airport Road, Bangalore","₹ 1,726",4.6,31% off,Bangalore
Hotel Purple Brigade Bangalore,"Brigade Road, Bangalore","₹ 2,472",2.5,36% off,Bangalore
Shoba Comfort,"Jayamahal Road, Bangalore","₹ 1,244",4.0,27% off,Bangalore
Sai Manyata Inn Manyata Tech Park,"Manyata Tech Park, Bangalore","₹ 1,327",4.8,34% off,Bangalore
Vistar Resorts & Hotels,"Electronic City, Bangalore","₹ 2,601",4.3,33% off,Bangalore
Golden Fortune Inn Hotel,"Hebbal, Bangalore","₹ 1,962",4.6,22% off,Bangalore
Avenue Suites,"Airport Road, Bangalore","₹ 1,855",2.5,19% off,Bangalore
SS Mystic Apartotel,"Langford Town, Bangalore","₹ 6,555",4.2,13% off,Bangalore
Grand Temple Tree,Bangalore,"₹ 8,583",2.5,14% off,Bangalore
Hello INN By VYDA,"Aecs Layout, Bangalore","₹ 1,568",4.5,33% off,Bangalore
Mount City Park,"Madiwala, Bangalore","₹ 2,205",2.5,10% off,Bangalore
The Venue by Seasons Suites,"Yelahanka, Bangalore","₹ 2,402",4.8,26% off,Bangalore
Vovo Premier Hotel,"Gandhi Nagar, Bangalore","₹ 3,704",2.5,38% off,Bangalore
Keerthis Royal Suites,"Bengaluru International Airport Road, Bangalore","₹ 1,589",4.7,41% off,Bangalore
Hotel Royal Classio,Bangalore,"₹ 1,414",4.6,33% off,Bangalore
Sai Bliss International Manyata Tech Park,"Manyata Tech Park, Bangalore","₹ 1,603",2.5,34% off,Bangalore
Hotel Amulya Regency,"Aerospace Park, Bangalore","₹ 1,207",2.5,41% off,Bangalore
Luho 125,"Koramangala, Bangalore","₹ 3,728",2.5,13% off,Bangalore
Cocoon Suites,"Hrbr Layout, Bangalore","₹ 1,948",2.5,47% off,Bangalore
Tea Harbour,"Whitefield, Bangalore","₹ 2,903",2.5,33% off,Bangalore
DoubleTree by Hilton Bengaluru Whitefield,"Whitefield, Bangalore","₹ 41,183",2.5,33% off,Bangalore
Holiday Inn Express Bengaluru Bommasandra,"Bommasandra Industrial Area, Bangalore","₹ 10,944",2.5,33% off,Bangalore
The Nisarga Residency,"Hessarghatta, Bangalore","₹ 1,978",2.5,29% off,Bangalore
Hotel Natasha Regency,"Bengaluru International Airport Road, Bangalore",₹ 895,2.5,41% off,Bangalore
The Ontime Hotel,"Residency Road, Bangalore","₹ 3,408",2.5,17% off,Bangalore
The Residency,"Marathahalli, Bangalore","₹ 2,197",2.5,42% off,Bangalore
No 7 Vista,"Magadi Main Road, Bangalore","₹ 1,278",2.5,39% off,Bangalore
Hotel Skylights,"Devanahalli, Bangalore","₹ 1,652",2.5,55% off,Bangalore
Moxy Bengaluru Airport Prestige Tech Cloud By Marriott,"Bengaluru International Airport Road, Bangalore","₹ 18,000",2.5,55% off,Bangalore
Gavishree Residency,"Gandhi Nagar, Bangalore","₹ 2,615",2.5,18% off,Bangalore
Ivory Corporate Hotel,"Dasarahalli, Bangalore","₹ 1,712",2.5,52% off,Bangalore
SSN Home Stays,"Sarjapur Road, Bangalore","₹ 2,146",2.5,39% off,Bangalore
Sterling Inn Hotel Near Bangalore International Airport,"Airport Road, Bangalore","₹ 1,711",2.5,43% off,Bangalore
Triton Suites,"Domlur, Bangalore","₹ 3,736",2.5,25% off,Bangalore
OM Residency JP Nagar,"J P Nagar, Bangalore","₹ 7,859",2.5,21% off,Bangalore
Akoya Business Hotel Whitefield,"Kadugodi, Bangalore","₹ 3,935",2.5,17% off,Bangalore
R D Hotels Peenya,"Peenya Industrial Estate, Bangalore","₹ 1,699",2.5,29% off,Bangalore
Purple Suites Inn,"Hbr Layout, Bangalore","₹ 19,616",2.5,22% off,Bangalore
Palani Andavar,"Ulsoor, Bangalore","₹ 2,266",2.5,30% off,Bangalore
Hotel Hebron Suites,"Marathahalli, Bangalore","₹ 1,577",2.5,25% off,Bangalore
V Nature Resorts,"Kanakapura Road, Bangalore","₹ 11,355",2.5,24% off,Bangalore
Ahom Comfort,"Aecs Layout, Bangalore","₹ 2,089",2.5,25% off,Bangalore
Vaishnavi Residency,"Kanakapura Road, Bangalore","₹ 2,833",2.5,25% off,Bangalore
Hotel Rize Inn,Bangalore,"₹ 1,528",2.5,25% off,Bangalore
Mystic Hotel Koramangala,"Koramangala, Bangalore","₹ 7,892",2.5,21% off,Bangalore
Palm Mystic Inn,"Indira Nagar, Bangalore","₹ 2,887",2.5,42% off,Bangalore
Marigold Business Hotel,"Whitefield, Bangalore","₹ 2,887",2.5,26% off,Bangalore
RG Suites HSR,"Hsr Layout, Bangalore","₹ 1,346",2.5,13% off,Bangalore
PPH Living Jai Maruthi Boarding & Lodging,"Mysore Road, Bangalore","₹ 1,009",2.5,63% off,Bangalore
Blue Bliss Suites By PPH Living,Bangalore,"₹ 1,021",2.5,58% off,Bangalore
SV comforts,Bangalore,₹ 992,2.5,17% off,Bangalore
HOTEL PARTHA RESIDENCY,Bangalore,"₹ 1,772",2.5,29% off,Bangalore
"The Hosteller Bangalore, Koramangala","Koramangala, Bangalore","₹ 2,145",2.5,37% off,Bangalore
"The Hosteller Bangalore, Brigade Road","Brigade Road, Bangalore","₹ 2,596",2.5,38% off,Bangalore
"The Hosteller Bangalore, Indiranagar","Hal 3rd Stage, Bangalore","₹ 3,051",2.5,36% off,Bangalore
"The Hosteller Bangalore, Manyata Tech Park","Nagawara, Bangalore","₹ 1,601",2.5,37% off,Bangalore
"The Hosteller Bangalore, Marathahalli","Marathahalli, Bangalore","₹ 2,212",2.5,36% off,Bangalore
HZ Bangalore Stories,"Seshadripuram, Bangalore","₹ 2,648",2.5,42% off,Bangalore
Truelife Suites Whitefield,"Whitefield, Bangalore","₹ 1,879",2.5,45% off,Bangalore
Seven Hills Boutique Hotel,Bangalore,"₹ 4,388",2.5,37% off,Bangalore
Fressotel kanakapura Road,Bangalore,"₹ 2,928",2.5,35% off,Bangalore
Aero Hotel Near Bangalore International Airport,"Bharti Nagar, Bangalore",₹ 926,2.5,55% off,Bangalore
Wandr Hotel Indiranagar,"Indira Nagar, Bangalore","₹ 3,995",2.5,47% off,Bangalore
Wandr Hotel Ulsoor,"Frazer Town, Bangalore","₹ 2,495",2.5,53% off,Bangalore
Open Hotel By Olive - The Emerald Inn,"Marathahalli, Bangalore","₹ 1,288",2.5,44% off,Bangalore
Atmosfera,"Banashankari, Bangalore","₹ 3,216",2.5,24% off,Bangalore
RG Suites Silkboard,"Btm 2nd Stage, Bangalore",₹ 861,2.5,34% off,Bangalore
Gubbi Goodu Green Resort,"Nelamangala, Bangalore","₹ 4,506",2.5,26% off,Bangalore
AK Castle Suites,"Richmond Town, Bangalore","₹ 2,959",2.5,41% off,Bangalore
Hotel Paramos Meeds,"Madiwala, Bangalore","₹ 3,761",2.5,25% off,Bangalore
Hotel Golden Inn,"Jayanagar, Bangalore",₹ 987,2.5,48% off,Bangalore
PPH Living Royal Imperial Comforts,"Hosur Road, Bangalore","₹ 1,093",2.5,56% off,Bangalore
The Nexus,Bangalore,"₹ 3,037",2.5,19% off,Bangalore
The Isle by Wonderla,"Mysore Road, Bangalore","₹ 8,979",2.5,14% off,Bangalore
Dream Inn,"Mahadevapura Post, Bangalore","₹ 1,550",2.5,14% off,Bangalore
Xotel Koramangala,"Koramangala, Bangalore",₹ 734,2.5,13% off,Bangalore
New Grand Suites,"Jakkur, Bangalore","₹ 1,181",2.5,21% off,Bangalore
Hotel Grand Kasturi,"Marathahalli, Bangalore","₹ 2,971",2.5,45% off,Bangalore
Open Hotel by Olive - Meet Me At,"Koramangala, Bangalore","₹ 1,362",2.5,30% off,Bangalore
Super Collection O Summanahalli Bus Stand Formerly Elevate 58,Bangalore,"₹ 1,158",2.5,13% off,Bangalore
Hotel O Abbigere Bangalore North Formerly MLV Grand,Bangalore,₹ 919,2.5,13% off,Bangalore
Townhouse Oak Madiwala Lake Park,Bangalore,"₹ 1,486",2.5,13% off,Bangalore
Townhouse Whitefield Railway Station Formerly Kadugudi Whitefield,Bangalore,"₹ 1,120",2.5,13% off,Bangalore
Collection O Christ University,Bangalore,"₹ 1,178",2.5,13% off,Bangalore
"goSTOPS Bengaluru, HSR Silk Board","Hsr Layout, Bangalore","₹ 1,696",2.5,19% off,Bangalore
"goSTOPS Bengaluru, Gandhi Nagar Majestic","Gandhi Nagar, Bangalore","₹ 2,507",2.5,19% off,Bangalore
Ellegant Inn,"Nagawara, Bangalore","₹ 1,370",2.5,38% off,Bangalore
New Golden Residency,"Gandhi Nagar, Bangalore","₹ 2,193",2.5,51% off,Bangalore
Treebo Memories Inn,Bangalore,"₹ 1,800",2.5,67% off,Bangalore
Treebo Comfy Business,"Tavarekere, Bangalore","₹ 2,296",2.5,65% off,Bangalore
Housr Duckworth,"Uttarahali Bangalore, Bangalore","₹ 2,931",2.5,49% off,Bangalore
"U by Z Hotels, Richmond Circle","Richmond Circle, Bangalore","₹ 2,524",2.5,52% off,Bangalore
Aeon Hotel,"Electronic City, Bangalore","₹ 1,053",2.5,16% off,Bangalore
Hotel Sing 65,Bangalore,"₹ 2,883",2.5,19% off,Bangalore
Hotel Grand Sigma,Bangalore,"₹ 3,061",2.5,22% off,Bangalore
Suraksha Stay Whitefield Hotel,Bangalore,"₹ 1,300",2.5,33% off,Bangalore
BLR Pods,Bangalore,"₹ 1,439",2.5,18% off,Bangalore
ROYAL ACE LUXUR,Bangalore,"₹ 10,816",2.5,14% off,Bangalore
Aura by Agira Hotels,Bangalore,"₹ 1,530",2.5,22% off,Bangalore
Silverkey Hotel Yelahanka,Bangalore,"₹ 4,020",2.5,13% off,Bangalore
Hotel Elite By Agira,Bangalore,"₹ 1,448",2.5,28% off,Bangalore
The Quarters - Business Hotel,Bangalore,"₹ 3,085",2.5,10% off,Bangalore
Oriva Freshco,Bangalore,"₹ 2,404",2.5,56% off,Bangalore
Glitch By Otherland Koramangala,Bangalore,"₹ 4,686",2.5,38% off,Bangalore
Hotel Classio Koramangala,Bangalore,"₹ 2,098",2.5,13% off,Bangalore
Hotel Park Lane Yelahanka,Bangalore,"₹ 1,585",2.5,16% off,Bangalore
Decan County,Bangalore,"₹ 3,425",2.5,18% off,Bangalore
Leo Grand Hotel,Bangalore,"₹ 1,105",2.5,13% off,Bangalore
Olive Hotel Kundalahalli by Embassy Group,Bangalore,"₹ 2,402",2.5,27% off,Bangalore
Oriva Joven's Central - Brigade Rd,Bangalore,"₹ 3,463",2.5,57% off,Bangalore
Gateway Premium Inn,Bangalore,"₹ 1,882",2.5,28% off,Bangalore
Nisarga Resort,Bangalore,"₹ 4,248",2.5,21% off,Bangalore
Olive Bliss Stays- HSR Layout,"Hsr Layout, Bangalore","₹ 3,238",2.5,17% off,Bangalore
Hotel Acacia Yelahanka,"Yelahanka, Bangalore","₹ 1,370",2.5,32% off,Bangalore
Happy Stays Whitefield,Bangalore,"₹ 1,618",2.5,13% off,Bangalore
Fortune Suites Bengaluru,Bangalore,"₹ 1,659",2.5,46% off,Bangalore
The Blooms stay inn,Bangalore,"₹ 1,258",2.5,24% off,Bangalore
Hotel Townhall,Bangalore,"₹ 1,464",2.5,13% off,Bangalore
Hotel DD Comfort,Bangalore,"₹ 2,098",2.5,43% off,Bangalore
Hotel Orelio by TGH,Bangalore,"₹ 2,919",2.5,17% off,Bangalore
Treebo Orchid Silver,"Itpl Main Road, Bangalore","₹ 1,529",2.5,68% off,Bangalore
Itsy Hotels Manyu Inn,"Hsr Layout, Bangalore","₹ 1,509",2.5,65% off,Bangalore
