Hotel Name,Location,Price,Rating,Discount Percentage,City,Price_Category,Price_Band
Hotel Dhruv Palace,"Hebbal, Bangalore",1571,4.3,37,Bangalore,Budget,0-2K
Omatra RK Club House,"Bommasandra Industrial Area, Bangalore",6117,4.3,13,Bangalore,Luxury,5K-10K
Hotel BV Colours,"Begur, Bangalore",1296,4.4,21,Bangalore,Budget,0-2K
Hotel Red Key Bangalore Airport,"Bengaluru International Airport Road, Bangalore",925,4,43,Bangalore,Budget,0-2K
Gateway Inn Bangalore International Airport,"Bengaluru International Airport Road, Bangalore",2394,2.5,26,Bangalore,Mid-range,2K-5K
Hotel 8th Mile Suites,"Vidhyanagar, Bangalore",3728,4.5,15,Bangalore,Mid-range,2K-5K
Santrina Suites,"Koramangala, Bangalore",2923,4.4,19,Bangalore,Mid-range,2K-5K
Raj Residency,"Mathikere, Bangalore",2858,4.6,35,Bangalore,Mid-range,2K-5K
Regal Suites,"Jayanagar, Bangalore",8583,4.6,14,Bangalore,Luxury,5K-10K
Domus Regency by ShriGo Hotels,"Hebbal, Bangalore",2218,2.5,23,Bangalore,Mid-range,2K-5K
SAS Royal Galaxy,"Airport Road, Bangalore",1318,4.8,62,Bangalore,Budget,0-2K
North Comforts,"Jakkur, Bangalore",2401,4.7,29,Bangalore,Mid-range,2K-5K
Tranquil orchid serviced Apartment,"Electronic City, Bangalore",3698,2.5,21,Bangalore,Mid-range,2K-5K
Panchami Comforts,"Mailasandra, Bangalore",1936,4.9,28,Bangalore,Budget,0-2K
Sheraton Grand Bengaluru Whitefield Hotel & Convention Center,"Whitefield, Bangalore",39000,2.5,28,Bangalore,Luxury,10K+
Forest Keys By VYDA,"J P Nagar, Bangalore",1827,4,25,Bangalore,Budget,0-2K
Classic Heights Serviced Apartments near IIM Bangalore,"Bannerghatta, Bangalore",2729,5,39,Bangalore,Mid-range,2K-5K
Urban Smart Wagtail Hotel,"Whitefield, Bangalore",2098,2.5,13,Bangalore,Mid-range,2K-5K
Amulya Relax Inn,Bangalore,1274,2.5,33,Bangalore,Budget,0-2K
NEVESA INN,"Brookefield, Bangalore",1924,4.8,21,Bangalore,Budget,0-2K
Sai Shreyas Residency,"Airport Road, Bangalore",1569,4.7,37,Bangalore,Budget,0-2K
Eshanya Comforts,"Hosur Main Road, Bangalore",1906,2.5,29,Bangalore,Budget,0-2K
JK Residency,"Old Madras Road, Bangalore",1661,4.3,45,Bangalore,Budget,0-2K
Aishwarya Inn,"Old Madras Road, Bangalore",1977,2.5,20,Bangalore,Budget,0-2K
Liwa Habitat,"Jakkur, Bangalore",3545,2.5,65,Bangalore,Mid-range,2K-5K
Poornima Regency,"Wilson Garden, Bangalore",1668,4.4,33,Bangalore,Budget,0-2K
Hotel Blue Bell,"Kiadb Road, Bangalore",1569,2.5,22,Bangalore,Budget,0-2K
Olive Zip Koramangala 100Ft Road by Embassy Group,"Koramangala, Bangalore",2466,4.2,30,Bangalore,Mid-range,2K-5K
Hotel Golden Suites,"Electronic City, Bangalore",1105,2.5,35,Bangalore,Budget,0-2K
Hotel Grand Meridian,"Bengaluru International Airport Road, Bangalore",1098,2.5,45,Bangalore,Budget,0-2K
SM Comforts HSR Layout,"Hsr Layout, Bangalore",1666,2.5,41,Bangalore,Budget,0-2K
JW Marriott Bengaluru Prestige Golfshire Resort & Spa,"Devanahalli, Bangalore",33000,2.5,41,Bangalore,Luxury,10K+
Villa Grand Hotel,"Bengaluru International Airport Road, Bangalore",2149,4.2,20,Bangalore,Mid-range,2K-5K
PPH Living Royal GS Comforts,"Amruthahalli, Bangalore",1746,4.7,33,Bangalore,Budget,0-2K
J C Comfort,"Dasarahalli, Bangalore",2390,4.2,32,Bangalore,Mid-range,2K-5K
Treebo Millenium Suites,"Hosur Main Road, Bangalore",1536,2.5,62,Bangalore,Budget,0-2K
Nandhini Hotel - RT Nagar,"R T Nagar, Bangalore",2827,4,29,Bangalore,Mid-range,2K-5K
Ekaa Keys By Bestinn Leisure,"Hosur Main Road, Bangalore",2803,2.5,30,Bangalore,Mid-range,2K-5K
ibis Bengaluru Hebbal,"Hebbal, Bangalore",18900,2.5,30,Bangalore,Luxury,10K+
Hotel New Blue Rocks,"Sarjapur Road, Bangalore",1648,4.6,59,Bangalore,Budget,0-2K
DMS Service Apartments& Luxury Rooms,"Yelahanka, Bangalore",1669,4.4,16,Bangalore,Budget,0-2K
Sri Udupi Park Suites PMC,"Whitefield, Bangalore",1453,2.5,29,Bangalore,Budget,0-2K
Purple Cloud Urban Hotel,"Hebbal, Bangalore",1713,4.1,26,Bangalore,Budget,0-2K
Hotel Royal Orbit,"Bilekahalli, Bangalore",2271,4.7,35,Bangalore,Mid-range,2K-5K
Dhanvitha Suites,"Bannerghatta Road, Bangalore",7660,2.5,23,Bangalore,Luxury,5K-10K
Hotel SPECTRA,"Bengaluru International Airport Road, Bangalore",1880,4.8,57,Bangalore,Budget,0-2K
City Keys By Bestinn Leisure,"Electronic City, Bangalore",2119,4.6,53,Bangalore,Mid-range,2K-5K
The Altruist Business Stays Bellandur 1,"Bellandur, Bangalore",3720,2.5,35,Bangalore,Mid-range,2K-5K
The Altruist Business Stays Bellandur 2,"Bellandur, Bangalore",1774,2.5,64,Bangalore,Budget,0-2K
Hotel Twin Tulips,"Hsr Layout, Bangalore",1935,4.3,57,Bangalore,Budget,0-2K
Blue Lotus Residency,Bangalore,1070,2.5,46,Bangalore,Budget,0-2K
Octave Jamayca Hotel Bengaluru,"Hrbr Layout, Bangalore",1518,2.5,10,Bangalore,Budget,0-2K
Octave Studio Hotel Bengaluru,"Koramangala, Bangalore",1494,2.5,10,Bangalore,Budget,0-2K
Octave Church Inn Bengaluru,"Shivaji Nagar, Bangalore",1992,2.5,10,Bangalore,Budget,0-2K
The Ventura Grand Hotel,"Dasarahalli, Bangalore",2567,2.5,20,Bangalore,Mid-range,2K-5K
SM Royal Stay,"Bengaluru International Airport Road, Bangalore",1726,4.6,31,Bangalore,Budget,0-2K
Hotel Purple Brigade Bangalore,"Brigade Road, Bangalore",2472,2.5,36,Bangalore,Mid-range,2K-5K
Shoba Comfort,"Jayamahal Road, Bangalore",1244,4,27,Bangalore,Budget,0-2K
Sai Manyata Inn Manyata Tech Park,"Manyata Tech Park, Bangalore",1327,4.8,34,Bangalore,Budget,0-2K
Vistar Resorts & Hotels,"Electronic City, Bangalore",2601,4.3,33,Bangalore,Mid-range,2K-5K
Golden Fortune Inn Hotel,"Hebbal, Bangalore",1962,4.6,22,Bangalore,Budget,0-2K
Avenue Suites,"Airport Road, Bangalore",1855,2.5,19,Bangalore,Budget,0-2K
SS Mystic Apartotel,"Langford Town, Bangalore",6555,4.2,13,Bangalore,Luxury,5K-10K
Grand Temple Tree,Bangalore,8583,2.5,14,Bangalore,Luxury,5K-10K
Hello INN By VYDA,"Aecs Layout, Bangalore",1568,4.5,33,Bangalore,Budget,0-2K
Mount City Park,"Madiwala, Bangalore",2205,2.5,10,Bangalore,Mid-range,2K-5K
The Venue by Seasons Suites,"Yelahanka, Bangalore",2402,4.8,26,Bangalore,Mid-range,2K-5K
Vovo Premier Hotel,"Gandhi Nagar, Bangalore",3704,2.5,38,Bangalore,Mid-range,2K-5K
Keerthis Royal Suites,"Bengaluru International Airport Road, Bangalore",1589,4.7,41,Bangalore,Budget,0-2K
Hotel Royal Classio,Bangalore,1414,4.6,33,Bangalore,Budget,0-2K
Sai Bliss International Manyata Tech Park,"Manyata Tech Park, Bangalore",1603,2.5,34,Bangalore,Budget,0-2K
Hotel Amulya Regency,"Aerospace Park, Bangalore",1207,2.5,41,Bangalore,Budget,0-2K
Luho 125,"Koramangala, Bangalore",3728,2.5,13,Bangalore,Mid-range,2K-5K
Cocoon Suites,"Hrbr Layout, Bangalore",1948,2.5,47,Bangalore,Budget,0-2K
Tea Harbour,"Whitefield, Bangalore",2903,2.5,33,Bangalore,Mid-range,2K-5K
DoubleTree by Hilton Bengaluru Whitefield,"Whitefield, Bangalore",41183,2.5,33,Bangalore,Luxury,10K+
Holiday Inn Express Bengaluru Bommasandra,"Bommasandra Industrial Area, Bangalore",10944,2.5,33,Bangalore,Luxury,10K+
The Nisarga Residency,"Hessarghatta, Bangalore",1978,2.5,29,Bangalore,Budget,0-2K
Hotel Natasha Regency,"Bengaluru International Airport Road, Bangalore",895,2.5,41,Bangalore,Budget,0-2K
The Ontime Hotel,"Residency Road, Bangalore",3408,2.5,17,Bangalore,Mid-range,2K-5K
The Residency,"Marathahalli, Bangalore",2197,2.5,42,Bangalore,Mid-range,2K-5K
No 7 Vista,"Magadi Main Road, Bangalore",1278,2.5,39,Bangalore,Budget,0-2K
Hotel Skylights,"Devanahalli, Bangalore",1652,2.5,55,Bangalore,Budget,0-2K
Moxy Bengaluru Airport Prestige Tech Cloud By Marriott,"Bengaluru International Airport Road, Bangalore",18000,2.5,55,Bangalore,Luxury,10K+
Gavishree Residency,"Gandhi Nagar, Bangalore",2615,2.5,18,Bangalore,Mid-range,2K-5K
Ivory Corporate Hotel,"Dasarahalli, Bangalore",1712,2.5,52,Bangalore,Budget,0-2K
SSN Home Stays,"Sarjapur Road, Bangalore",2146,2.5,39,Bangalore,Mid-range,2K-5K
Sterling Inn Hotel Near Bangalore International Airport,"Airport Road, Bangalore",1711,2.5,43,Bangalore,Budget,0-2K
Triton Suites,"Domlur, Bangalore",3736,2.5,25,Bangalore,Mid-range,2K-5K
OM Residency JP Nagar,"J P Nagar, Bangalore",7859,2.5,21,Bangalore,Luxury,5K-10K
Akoya Business Hotel Whitefield,"Kadugodi, Bangalore",3935,2.5,17,Bangalore,Mid-range,2K-5K
R D Hotels Peenya,"Peenya Industrial Estate, Bangalore",1699,2.5,29,Bangalore,Budget,0-2K
Purple Suites Inn,"Hbr Layout, Bangalore",19616,2.5,22,Bangalore,Luxury,10K+
Palani Andavar,"Ulsoor, Bangalore",2266,2.5,30,Bangalore,Mid-range,2K-5K
Hotel Hebron Suites,"Marathahalli, Bangalore",1577,2.5,25,Bangalore,Budget,0-2K
V Nature Resorts,"Kanakapura Road, Bangalore",11355,2.5,24,Bangalore,Luxury,10K+
Ahom Comfort,"Aecs Layout, Bangalore",2089,2.5,25,Bangalore,Mid-range,2K-5K
Vaishnavi Residency,"Kanakapura Road, Bangalore",2833,2.5,25,Bangalore,Mid-range,2K-5K
Hotel Rize Inn,Bangalore,1528,2.5,25,Bangalore,Budget,0-2K
Mystic Hotel Koramangala,"Koramangala, Bangalore",7892,2.5,21,Bangalore,Luxury,5K-10K
Palm Mystic Inn,"Indira Nagar, Bangalore",2887,2.5,42,Bangalore,Mid-range,2K-5K
Marigold Business Hotel,"Whitefield, Bangalore",2887,2.5,26,Bangalore,Mid-range,2K-5K
RG Suites HSR,"Hsr Layout, Bangalore",1346,2.5,13,Bangalore,Budget,0-2K
PPH Living Jai Maruthi Boarding & Lodging,"Mysore Road, Bangalore",1009,2.5,63,Bangalore,Budget,0-2K
Blue Bliss Suites By PPH Living,Bangalore,1021,2.5,58,Bangalore,Budget,0-2K
SV comforts,Bangalore,992,2.5,17,Bangalore,Budget,0-2K
HOTEL PARTHA RESIDENCY,Bangalore,1772,2.5,29,Bangalore,Budget,0-2K
"The Hosteller Bangalore, Koramangala","Koramangala, Bangalore",2145,2.5,37,Bangalore,Mid-range,2K-5K
"The Hosteller Bangalore, Brigade Road","Brigade Road, Bangalore",2596,2.5,38,Bangalore,Mid-range,2K-5K
"The Hosteller Bangalore, Indiranagar","Hal 3rd Stage, Bangalore",3051,2.5,36,Bangalore,Mid-range,2K-5K
"The Hosteller Bangalore, Manyata Tech Park","Nagawara, Bangalore",1601,2.5,37,Bangalore,Budget,0-2K
"The Hosteller Bangalore, Marathahalli","Marathahalli, Bangalore",2212,2.5,36,Bangalore,Mid-range,2K-5K
HZ Bangalore Stories,"Seshadripuram, Bangalore",2648,2.5,42,Bangalore,Mid-range,2K-5K
Truelife Suites Whitefield,"Whitefield, Bangalore",1879,2.5,45,Bangalore,Budget,0-2K
Seven Hills Boutique Hotel,Bangalore,4388,2.5,37,Bangalore,Mid-range,2K-5K
Fressotel kanakapura Road,Bangalore,2928,2.5,35,Bangalore,Mid-range,2K-5K
Aero Hotel Near Bangalore International Airport,"Bharti Nagar, Bangalore",926,2.5,55,Bangalore,Budget,0-2K
Wandr Hotel Indiranagar,"Indira Nagar, Bangalore",3995,2.5,47,Bangalore,Mid-range,2K-5K
Wandr Hotel Ulsoor,"Frazer Town, Bangalore",2495,2.5,53,Bangalore,Mid-range,2K-5K
Open Hotel By Olive - The Emerald Inn,"Marathahalli, Bangalore",1288,2.5,44,Bangalore,Budget,0-2K
Atmosfera,"Banashankari, Bangalore",3216,2.5,24,Bangalore,Mid-range,2K-5K
RG Suites Silkboard,"Btm 2nd Stage, Bangalore",861,2.5,34,Bangalore,Budget,0-2K
Gubbi Goodu Green Resort,"Nelamangala, Bangalore",4506,2.5,26,Bangalore,Mid-range,2K-5K
AK Castle Suites,"Richmond Town, Bangalore",2959,2.5,41,Bangalore,Mid-range,2K-5K
Hotel Paramos Meeds,"Madiwala, Bangalore",3761,2.5,25,Bangalore,Mid-range,2K-5K
Hotel Golden Inn,"Jayanagar, Bangalore",987,2.5,48,Bangalore,Budget,0-2K
PPH Living Royal Imperial Comforts,"Hosur Road, Bangalore",1093,2.5,56,Bangalore,Budget,0-2K
The Nexus,Bangalore,3037,2.5,19,Bangalore,Mid-range,2K-5K
The Isle by Wonderla,"Mysore Road, Bangalore",8979,2.5,14,Bangalore,Luxury,5K-10K
Dream Inn,"Mahadevapura Post, Bangalore",1550,2.5,14,Bangalore,Budget,0-2K
Xotel Koramangala,"Koramangala, Bangalore",734,2.5,13,Bangalore,Budget,0-2K
New Grand Suites,"Jakkur, Bangalore",1181,2.5,21,Bangalore,Budget,0-2K
Hotel Grand Kasturi,"Marathahalli, Bangalore",2971,2.5,45,Bangalore,Mid-range,2K-5K
Open Hotel by Olive - Meet Me At,"Koramangala, Bangalore",1362,2.5,30,Bangalore,Budget,0-2K
Super Collection O Summanahalli Bus Stand Formerly Elevate 58,Bangalore,1158,2.5,13,Bangalore,Budget,0-2K
Hotel O Abbigere Bangalore North Formerly MLV Grand,Bangalore,919,2.5,13,Bangalore,Budget,0-2K
Townhouse Oak Madiwala Lake Park,Bangalore,1486,2.5,13,Bangalore,Budget,0-2K
Townhouse Whitefield Railway Station Formerly Kadugudi Whitefield,Bangalore,1120,2.5,13,Bangalore,Budget,0-2K
Collection O Christ University,Bangalore,1178,2.5,13,Bangalore,Budget,0-2K
"goSTOPS Bengaluru, HSR Silk Board","Hsr Layout, Bangalore",1696,2.5,19,Bangalore,Budget,0-2K
"goSTOPS Bengaluru, Gandhi Nagar Majestic","Gandhi Nagar, Bangalore",2507,2.5,19,Bangalore,Mid-range,2K-5K
Ellegant Inn,"Nagawara, Bangalore",1370,2.5,38,Bangalore,Budget,0-2K
New Golden Residency,"Gandhi Nagar, Bangalore",2193,2.5,51,Bangalore,Mid-range,2K-5K
Treebo Memories Inn,Bangalore,1800,2.5,67,Bangalore,Budget,0-2K
Treebo Comfy Business,"Tavarekere, Bangalore",2296,2.5,65,Bangalore,Mid-range,2K-5K
Housr Duckworth,"Uttarahali Bangalore, Bangalore",2931,2.5,49,Bangalore,Mid-range,2K-5K
"U by Z Hotels, Richmond Circle","Richmond Circle, Bangalore",2524,2.5,52,Bangalore,Mid-range,2K-5K
Aeon Hotel,"Electronic City, Bangalore",1053,2.5,16,Bangalore,Budget,0-2K
Hotel Sing 65,Bangalore,2883,2.5,19,Bangalore,Mid-range,2K-5K
Hotel Grand Sigma,Bangalore,3061,2.5,22,Bangalore,Mid-range,2K-5K
Suraksha Stay Whitefield Hotel,Bangalore,1300,2.5,33,Bangalore,Budget,0-2K
BLR Pods,Bangalore,1439,2.5,18,Bangalore,Budget,0-2K
ROYAL ACE LUXUR,Bangalore,10816,2.5,14,Bangalore,Luxury,10K+
Aura by Agira Hotels,Bangalore,1530,2.5,22,Bangalore,Budget,0-2K
Silverkey Hotel Yelahanka,Bangalore,4020,2.5,13,Bangalore,Mid-range,2K-5K
Hotel Elite By Agira,Bangalore,1448,2.5,28,Bangalore,Budget,0-2K
The Quarters - Business Hotel,Bangalore,3085,2.5,10,Bangalore,Mid-range,2K-5K
Oriva Freshco,Bangalore,2404,2.5,56,Bangalore,Mid-range,2K-5K
Glitch By Otherland Koramangala,Bangalore,4686,2.5,38,Bangalore,Mid-range,2K-5K
Hotel Classio Koramangala,Bangalore,2098,2.5,13,Bangalore,Mid-range,2K-5K
Hotel Park Lane Yelahanka,Bangalore,1585,2.5,16,Bangalore,Budget,0-2K
Decan County,Bangalore,3425,2.5,18,Bangalore,Mid-range,2K-5K
Leo Grand Hotel,Bangalore,1105,2.5,13,Bangalore,Budget,0-2K
Olive Hotel Kundalahalli by Embassy Group,Bangalore,2402,2.5,27,Bangalore,Mid-range,2K-5K
Oriva Joven's Central - Brigade Rd,Bangalore,3463,2.5,57,Bangalore,Mid-range,2K-5K
Gateway Premium Inn,Bangalore,1882,2.5,28,Bangalore,Budget,0-2K
Nisarga Resort,Bangalore,4248,2.5,21,Bangalore,Mid-range,2K-5K
Olive Bliss Stays- HSR Layout,"Hsr Layout, Bangalore",3238,2.5,17,Bangalore,Mid-range,2K-5K
Hotel Acacia Yelahanka,"Yelahanka, Bangalore",1370,2.5,32,Bangalore,Budget,0-2K
Happy Stays Whitefield,Bangalore,1618,2.5,13,Bangalore,Budget,0-2K
Fortune Suites Bengaluru,Bangalore,1659,2.5,46,Bangalore,Budget,0-2K
The Blooms stay inn,Bangalore,1258,2.5,24,Bangalore,Budget,0-2K
Hotel Townhall,Bangalore,1464,2.5,13,Bangalore,Budget,0-2K
Hotel DD Comfort,Bangalore,2098,2.5,43,Bangalore,Mid-range,2K-5K
Hotel Orelio by TGH,Bangalore,2919,2.5,17,Bangalore,Mid-range,2K-5K
Treebo Orchid Silver,"Itpl Main Road, Bangalore",1529,2.5,68,Bangalore,Budget,0-2K
Itsy Hotels Manyu Inn,"Hsr Layout, Bangalore",1509,2.5,65,Bangalore,Budget,0-2K
Treebo Silent Woods,Bangalore,1425,2.5,69,Bangalore,Budget,0-2K
S S Hotels,"Bannerghatta, Bangalore",1783,2.5,41,Bangalore,Budget,0-2K
Z Express Anoop,"Koramangala, Bangalore",945,2.5,16,Bangalore,Budget,0-2K
Z Express Highstreet,"Begur, Bangalore",784,2.5,41,Bangalore,Budget,0-2K
SHR Comfort,Bangalore,1491,2.5,38,Bangalore,Budget,0-2K
"Treebo Liyan Orchid, Hsr Layout","Hsr Layout, Bangalore",3846,2.5,65,Bangalore,Mid-range,2K-5K
Urban Suites,"Halasuru, Bangalore",2149,2.5,28,Bangalore,Mid-range,2K-5K
Premier Suites Business Hotel,"Beml Layout, Bangalore",8155,2.5,14,Bangalore,Luxury,5K-10K
Z Express Belair B,"Varthur Main Road, Bangalore",27898,2.5,44,Bangalore,Luxury,10K+
Vaishnavi Suites,"Yelahanka, Bangalore",1923,2.5,23,Bangalore,Budget,0-2K
Royal Vista Hotel,"Rajarajeshwari Nagar, Bangalore",1705,2.5,13,Bangalore,Budget,0-2K
Hotel AM Garden,"Gandhi Nagar, Bangalore",1445,2.5,29,Bangalore,Budget,0-2K
Felix Inn Boutique Hotel - Manyata Tech Park,"Thanisandra, Bangalore",1718,2.5,43,Bangalore,Budget,0-2K
ELLO HOTELS,"Koramangala, Bangalore",3320,2.5,13,Bangalore,Mid-range,2K-5K
The Haventra,Bangalore,2621,2.5,13,Bangalore,Mid-range,2K-5K
Hotel Kingdom Suites,"Hbr Layout, Bangalore",2063,2.5,25,Bangalore,Mid-range,2K-5K
Kings Club,Bangalore,2606,2.5,19,Bangalore,Mid-range,2K-5K
AR Suites,Bangalore,1473,2.5,32,Bangalore,Budget,0-2K
"S by Z Hotels, HSR",Bangalore,44000,2.5,12,Bangalore,Luxury,10K+
Hotel Santhi Comfort Near Manyata Tech Park,"Thanisandra, Bangalore",2360,2.5,13,Bangalore,Mid-range,2K-5K
Treebo Brixton Luxe,"Hsr Layout, Bangalore",1692,2.5,65,Bangalore,Budget,0-2K
Loop Hostels - Silkboard,Bangalore,44000,2.5,12,Bangalore,Luxury,10K+
080 Transit Hotel T2,"Bengaluru International Airport Road, Bangalore",7726,2.5,14,Bangalore,Luxury,5K-10K
RD Hotels Bellandur,"Sarjapur Road, Bangalore",4807,2.5,13,Bangalore,Mid-range,2K-5K
Le Royal Meridien Chennai,"St Thomas Mount, Chennai",17500,2.5,24,Chennai,Luxury,10K+
Hotel Venture Park Thoraipakkam,"Thoraipakkam, Chennai",2440,2.5,41,Chennai,Mid-range,2K-5K
Grand Cascade,"Periamet, Chennai",2094,2.5,28,Chennai,Mid-range,2K-5K
Hablis - A Business Hotel,"Guindy, Chennai",11500,4.2,26,Chennai,Luxury,10K+
Mango Hill Central,"T. Nagar, Chennai",5367,4,29,Chennai,Luxury,5K-10K
New Woodlands Hotel,"Mylapore, Chennai",2178,4.2,21,Chennai,Mid-range,2K-5K
V7 Hotel,"Porur, Chennai",2337,2.5,42,Chennai,Mid-range,2K-5K
Hotel Southern Comfort,"Meenambakkam, Chennai",3117,2.5,31,Chennai,Mid-range,2K-5K
Ambica Empire,"Vadapalani, Chennai",5433,4.1,23,Chennai,Luxury,5K-10K
Hotel Grey Suit,"R A Puram, Chennai",4074,2.5,26,Chennai,Mid-range,2K-5K
UPAR Hotels Nungambakkam,"Nungambakkam, Chennai",3066,2.5,28,Chennai,Mid-range,2K-5K
The Park Chennai,"Anna Salai, Chennai",11809,4.2,26,Chennai,Luxury,10K+
The Residency Towers,"T. Nagar, Chennai",23229,4.4,20,Chennai,Luxury,10K+
Hotel Abu Palace,"Kilpauk, Chennai",3135,2.5,50,Chennai,Mid-range,2K-5K
SRM Hotel,"Maraimalai Nagar, Chennai",6064,4,16,Chennai,Luxury,5K-10K
Blu Iris,"Aminjikarai, Chennai",25850,4.1,43,Chennai,Luxury,10K+
ST Parklane Airport Hotel,"Pallavaram, Chennai",2174,2.5,36,Chennai,Mid-range,2K-5K
Hotel NK Grand Park,"Pallavaram, Chennai",3799,2.5,21,Chennai,Mid-range,2K-5K
Grand Chennai By GRT Hotel,"T. Nagar, Chennai",15999,4.5,20,Chennai,Luxury,10K+
Greenpark Chennai,"Vadapalani, Chennai",11333,4.5,16,Chennai,Luxury,10K+
Days Hotel Chennai OMR,"Omr Road, Chennai",3295,4.1,19,Chennai,Mid-range,2K-5K
V FIVE HOTEL,"Maraimalai Nagar, Chennai",6500,2.5,19,Chennai,Luxury,5K-10K
Raaj Bhaavan Clarks Inn,"Thoraipakkam, Chennai",3674,4.1,29,Chennai,Mid-range,2K-5K
Ginger Chennai Vadapalani,"Vadapalani, Chennai",4294,4.1,14,Chennai,Mid-range,2K-5K
Fortel,"Egmore, Chennai",4388,2.5,30,Chennai,Mid-range,2K-5K
The K11 Hotel,"T. Nagar, Chennai",2169,4.6,23,Chennai,Mid-range,2K-5K
Liza Regency,"Periamet, Chennai",1840,4.2,33,Chennai,Budget,0-2K
Hotel Bakya Slot - Maraimalai Nagar,"Chengalpattu, Chennai",2004,4,37,Chennai,Mid-range,2K-5K
Sea La Vie Covelong Beach Resort,"East Coast Road, Chennai",3008,4,75,Chennai,Mid-range,2K-5K
The Mount Manor,"Alandur, Chennai",3186,2.5,21,Chennai,Mid-range,2K-5K
Mermaid Resort,"Omr Road, Chennai",2556,4.1,49,Chennai,Mid-range,2K-5K
Marina Inn,"Egmore, Chennai",1895,2.5,58,Chennai,Budget,0-2K
Convastay Prestige,"Thousand Lights, Chennai",2820,4.7,15,Chennai,Mid-range,2K-5K
Hotel AKMG Towers,"Edapalaiyam, Chennai",1217,4.4,28,Chennai,Budget,0-2K
Sekaran Hotel OMR Perungudi,"Perungudi, Chennai",2003,2.5,23,Chennai,Mid-range,2K-5K
Hotel Pandian,"Egmore, Chennai",1041,4,26,Chennai,Budget,0-2K
Staylite Suites,"Thiruvanmiyur, Chennai",3039,4.7,16,Chennai,Mid-range,2K-5K
Maple Tree Hotels,"Vadapalani, Chennai",3853,4.1,23,Chennai,Mid-range,2K-5K
Pine Tree Signature,"Guindy, Chennai",2589,2.5,38,Chennai,Mid-range,2K-5K
Downtown Business Hotel,"Chengalpattu, Chennai",4356,4.6,31,Chennai,Mid-range,2K-5K
Zaith Residency(Near Us Consulate),"Thousand Lights, Chennai",1960,2.5,53,Chennai,Budget,0-2K
Apple Residency,"Mount Road, Chennai",1648,2.5,22,Chennai,Budget,0-2K
Pine Tree Boutique Hotel,"Greames Road, Chennai",1832,2.5,30,Chennai,Budget,0-2K
Hotel Zain Grande,"New Central Railway Station, Chennai",1785,2.5,49,Chennai,Budget,0-2K
UPAR Hotels Uthandi ECR,"Uthandi, Chennai",1625,2.5,29,Chennai,Budget,0-2K
Orion Residency,"Periamet, Chennai",1631,2.5,32,Chennai,Budget,0-2K
League Hotels and Banquets,"Arumbakkam, Chennai",2223,2.5,38,Chennai,Mid-range,2K-5K
Brown Star Boutique Hotel,"Kodambakkam, Chennai",2647,2.5,20,Chennai,Mid-range,2K-5K
Royal Residency,"Jafferkhanpet, Chennai",1275,4,20,Chennai,Budget,0-2K
M Stays,"Vanagaram, Chennai",3091,4.6,20,Chennai,Mid-range,2K-5K
Hotel Orange Inn,"Manapakkam, Chennai",1176,2.5,49,Chennai,Budget,0-2K
Value Hotel,"Pallavaram, Chennai",1060,4.2,21,Chennai,Budget,0-2K
Simsan Hotel,"Poonamallee High Road, Chennai",1812,4,62,Chennai,Budget,0-2K
Olive Residency,"Thousand Lights, Chennai",1126,2.5,34,Chennai,Budget,0-2K
UPAR Hotels Thoraipakkam,"Thoraipakkam, Chennai",2313,4.3,23,Chennai,Mid-range,2K-5K
Le Grace Annasalai,"Mount Road, Chennai",2213,4.7,45,Chennai,Mid-range,2K-5K
Kiruba Castle,"Pallikaranai, Chennai",1027,2.5,32,Chennai,Budget,0-2K
Taj Club House (A Taj Hotel),"Club House Road, Chennai",29872,2.5,32,Chennai,Luxury,10K+
Radisson Blu Hotel Chennai City Centre,"Egmore, Chennai",16999,2.5,32,Chennai,Luxury,10K+
The Kings Park Grand,"Nungambakkam, Chennai",6699,2.5,32,Chennai,Luxury,5K-10K
D and A Boutique Hotel,"Perungudi, Chennai",1820,2.5,38,Chennai,Budget,0-2K
ILARA Hotels & Spa,"Omr Road, Chennai",3927,4.6,43,Chennai,Mid-range,2K-5K
Hotel Pearl International,"Park Town, Chennai",1906,4.2,29,Chennai,Budget,0-2K
Hotel Grand Parkway,"Tambaram, Chennai",1574,2.5,28,Chennai,Budget,0-2K
Super Townhouse Oak Alandur Near Chennai Airport,"Near Airport, Chennai",2555,4.1,14,Chennai,Mid-range,2K-5K
Taj Coromandel,"Nungambakkam, Chennai",26095,2.5,14,Chennai,Luxury,10K+
Avenue Hotel,"Airport Zone, Chennai",2277,4.1,20,Chennai,Mid-range,2K-5K
Grand Padappai Residency,"Padapai, Chennai",2758,2.5,16,Chennai,Mid-range,2K-5K
Townhouse INN24 Airport,"Airport Road, Chennai",1684,2.5,16,Chennai,Budget,0-2K
44 Oasis Chennai,"T. Nagar, Chennai",3951,4.2,33,Chennai,Mid-range,2K-5K
Grand Residence,"Porur, Chennai",2585,2.5,58,Chennai,Mid-range,2K-5K
Hotel M Grand,"T. Nagar, Chennai",3540,4.2,33,Chennai,Mid-range,2K-5K
MGM Beach Resort,"East Coast Road, Chennai",8478,4.1,15,Chennai,Luxury,5K-10K
The K11 Express,"Royapettah, Chennai",2233,2.5,20,Chennai,Mid-range,2K-5K
Radisson Blu GRT Hotel,"St Thomas Mount, Chennai",21000,2.5,20,Chennai,Luxury,10K+
